home_team,away_team,season,stage,date,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
HUE,VAL,2008/2009,8,10/26/08 0:00,1,1,33958,37434,37440,42310,37423,75474,74747,37448,38035,,18628,19435,34007,34029,37479,34008,37824,30666,38701,41468,,30909
GET,VAL,2008/2009,8,10/26/08 0:00,1,0,34382,37470,32675,,37468,30468,37474,41156,37471,37469,37506,96623,37597,38065,43374,2790,33586,38431,75192,38471,56867,96627
BIL,VIL,2008/2009,9,11/1/08 0:00,1,4,33764,33025,33993,37604,154938,30287,30277,33866,,37408,33030,41466,33733,38458,56678,40599,37436,42479,30958,37478,38551,38699
MAL,BAR,2008/2009,9,11/1/08 0:00,1,4,33826,33843,25913,41707,38479,37450,102612,33666,11758,45744,43310,32657,33988,37482,30740,30661,39854,36615,154257,30981,33639,30955
AMA,MAL,2008/2009,9,11/1/08 0:00,2,0,30664,32656,30839,33636,34103,33632,25924,38492,30663,38460,37412,33845,24131,30276,33856,33861,37491,37631,38160,38922,33028,38398
VAL,SAN,2008/2009,9,11/1/08 0:00,2,4,19435,34007,34029,37479,34008,37824,30666,38701,32762,41468,30909,37579,33896,33828,80497,41196,35638,37512,32999,33892,38382,150644
VAL,SEV,2008/2009,9,11/2/08 0:00,3,2,96623,37597,38065,37672,2790,33586,33588,75192,56867,33729,39142,33986,39562,33812,33990,33848,34000,33759,33991,30443,31014,34106
HUE,GET,2008/2009,9,11/2/08 0:00,1,1,33958,37434,37440,42310,99333,75474,37448,74747,38035,,18628,34382,37470,32675,,37468,30468,37474,41156,37471,37469,37506
SPG,NUM,2008/2009,9,11/2/08 0:00,3,1,33630,74743,75608,33895,74752,33611,33887,97334,38004,24383,34582,75195,75199,102614,38561,74435,38008,,102374,46211,38550,102002
BET,COR,2008/2009,9,11/2/08 0:00,0,3,46531,31303,2977,33655,37426,25571,42173,33665,37422,18164,38578,33018,33756,37451,34104,41167,33758,37449,38573,37441,31045,37446
